gtfs_route,model_route,operator
9904d31d,,
63ec3854,,
e912b584,,
7784f0a6,,
51805efc,,
bb744492,,
5585f284,,
6088cd55,,
dc09a35e-A-IB,,
dc09a35e-A-OB,,
2c061f24-A-IB,,
2c061f24-A-OB,,
2b663066-A-OB,,
2b663066-A-IB,,
b92d22ee-A-OB,,
b92d22ee-A-IB,,
f1c03016-A-OB,,
f1c03016-A-IB,,
00aaa506-A-OB,,
00aaa506-A-IB,,
72e8f6ce-A-IB,,
72e8f6ce-A-OB,,
90ab778b-A-IB,,
db4ad793-A-OB,,
ecd7ac2c-A-IB,,
ecd7ac2c-A-OB,,
5c6cbf42-Variant_-_A-IB,,
5c6cbf42-Variant_-_A-OB,,
47c3d04d-A-LO,,
shp-3-03,AATA_003_WB,AATA
shp-3-53,AATA_003_EB,AATA
shp-4-06,AATA_004_WB,AATA
shp-4-55,AATA_004_EB,AATA
shp-5-01,AATA_005A_WB,AATA
shp-5-07,AATA_005A_EB,AATA
shp-5-02,AATA_005B_WB,AATA
shp-5-08,AATA_005B_EB,AATA
shp-6-01,AATA_006_WB,AATA
shp-6-10,AATA_006_WB,AATA
shp-6-51,AATA_006_EB,AATA
shp-6-62,AATA_006_EB,AATA
shp-22-01,AATA_022_WB,AATA
shp-22-04,AATA_022_EB,AATA
shp-23-59,AATA_023_EB_Green,AATA
shp-23-60,AATA_023_EB_Plymouth,AATA
shp-23-07,AATA_023_WB_Green,AATA
shp-23-06,AATA_023_WB_Plymouth,AATA
shp-24-01,AATA_024_WB,AATA
shp-24-59,AATA_024_EB,AATA
shp-25-09,AATA_025_NB,AATA
shp-25-52,AATA_025_SB,AATA
shp-26-02,AATA_026_WB,AATA
shp-26-01,AATA_026_EB,AATA
shp-27-04,AATA_027_NB,AATA
shp-27-52,AATA_027_SB,AATA
shp-28-10,AATA_028_EB,AATA
shp-28-12,AATA_028_WB,AATA
shp-29-51,AATA_029_WB,AATA
shp-29-01,AATA_029_EB,AATA
shp-30-05,AATA_030_WB,AATA
shp-30-51,AATA_030_EB,AATA
shp-31-51,AATA_031_WB,AATA
shp-31-04,AATA_031_EB,AATA
shp-32-55,AATA_032_WB,AATA
shp-32-06,AATA_032_EB,AATA
shp-32-07,AATA_032_Branch,AATA
shp-32-54,AATA_032_Branch,AATA
shp-33-01,AATA_033_Loop,AATA
shp-33-51,AATA_033_Branch,AATA
shp-33-02,AATA_033_Branch,AATA
shp-34-51,AATA_034_Loop,AATA
shp-34-01,AATA_034_Branch,AATA
shp-42-52,AATA_042_WB,AATA
shp-42-03,AATA_042_EB,AATA
shp-43-51,AATA_043_WB,AATA
shp-43-02,AATA_043_EB,AATA
shp-44-52,AATA_044_WB,AATA
shp-44-02,AATA_044_EB,AATA
shp-45-51,AATA_045_WB,AATA
shp-45-03,AATA_045_EB,AATA
shp-46-51,AATA_046_NB,AATA
shp-46-02,AATA_046_SB,AATA
shp-46-56,AATA_046_Branch,AATA
shp-47-02,AATA_047_WB,AATA
shp-47-51,AATA_047_EB,AATA
shp-61-51,AATA_061_WB,AATA
shp-61-02,AATA_061_EB,AATA
shp-62-06,AATA_062_NB,AATA
shp-62-07,AATA_062_Branch,AATA
shp-62-08,AATA_062_Branch,AATA
shp-62-54,AATA_062_SB,AATA
shp-62-53,AATA_062_Branch,AATA
shp-63-51,AATA_063_NB,AATA
shp-63-05,AATA_063_SB,AATA
shp-64-02,AATA_064_NB,AATA
shp-64-53,AATA_064_SB,AATA
